objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,337,5.22644,6.459709
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,382,5.110952,6.440904
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,95,6.46665,6.414308
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,88,6.472089,6.413433
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,132,6.629876,6.428339
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,47,6.477542,6.411901
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,197,6.603326,6.418669
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,117,6.635984,6.428642
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,70,6.628072,6.426297
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,56,6.643868,6.42126
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,88,6.610714,6.423297
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,83,6.616909,6.426568
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,357,3.266797,7.763397
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,334,3.424233,7.713389
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,84,6.527705,7.565547
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,104,6.397254,7.526086
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,66,7.352608,7.540529
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,39,6.708965,7.607642
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,76,7.32126,7.521289
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,63,7.360619,7.533545
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,26,7.40151,7.492347
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,21,7.438403,7.51105
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,38,7.32921,7.552574
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,37,7.344195,7.534799
