objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,475,5.005107,6.927743
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,468,5.011448,6.920839
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,143,6.419849,6.871735
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,110,6.461618,6.865973
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,229,6.600811,6.867608
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,50,6.483902,6.863757
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,231,6.598448,6.865169
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,221,6.603197,6.865519
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,85,6.622732,6.873668
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,88,6.617644,6.874943
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,107,6.609454,6.871931
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,109,6.605547,6.885468
