objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,456,5.046484,6.919667
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,417,5.11119,6.925587
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,127,6.44337,6.862978
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,157,6.405098,6.860292
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,207,6.606445,6.866766
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,59,6.468668,6.873652
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,136,6.629224,6.875062
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,136,6.630158,6.873084
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,127,6.60101,6.869774
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,60,6.638184,6.876889
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,83,6.619267,6.871469
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,127,6.597354,6.869088
